headline,label
"El mundo termina mañana",FAKE
"El Gobierno presenta un plan de inversión en infraestructuras para 2026",REAL
"Expertos afirman que la situación actual requiere medidas coordinadas a nivel regional",AI_GENERATED
"Reportan interrupciones del servicio en varias provincias",REAL
"Millonario secreto regala 1.000€ a quien comparta esta noticia",FAKE
"Investigadores presentan vacuna nasal con resultados prometedores",REAL
"Nuevo impuesto por respirar entra en vigor este lunes",FAKE
"Análisis revela que la inflación se desacelera en septiembre",REAL
"Descubren ciudad perdida en Marte con vida humana",FAKE
"Autoridades confirman que la Tierra es plana oficialmente",FAKE
